
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab25        0.258    0.742
ab29        0.291    0.709
ab32        0.324    0.676
ab35        0.356    0.644
ab38        0.389    0.611
ab42        0.422    0.578
ab45        0.454    0.546
ab48        0.487    0.513
ab51        0.520    0.480
ab55        0.552    0.448
ab58        0.585    0.415
ab61        0.618    0.382
ab65        0.650    0.350
ab68        0.682    0.318

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.882    0.118
fo91        0.915    0.085
fo94        0.948    0.052
fo96.4      0.964    0.036

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp78        0.785    0.215
sp80        0.808    0.192

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op90__0     0.000    0.903    0.097
Op93__0     0.000    0.936    0.064
Op94__0     0.000    0.941    0.059
Op90__3     0.033    0.870    0.094
Op93__3     0.033    0.903    0.062
Op94__3     0.033    0.908    0.057
Op90__6     0.066    0.837    0.091
Op93__6     0.066    0.870    0.060
Op94__6     0.066    0.875    0.055
Op90__9     0.100    0.804    0.087
Op93__9     0.100    0.837    0.057
Op94__9     0.100    0.842    0.053
Op90_13     0.133    0.770    0.084
Op93_13     0.133    0.804    0.055
Op94_13     0.133    0.808    0.051
Op90_16     0.166    0.737    0.081
Op93_16     0.166    0.770    0.053
Op94_16     0.166    0.775    0.049
Op90_18     0.180    0.723    0.079
Op93_18     0.180    0.756    0.052
Op94_18     0.180    0.761    0.048

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_013_3    0.009    0.139    0.039    0.814
Cp_013_7    0.009    0.139    0.073    0.780
Cp_013_7    0.009    0.139    0.077    0.776
Cp_017_0    0.009    0.172    0.006    0.814
Cp_017_3    0.009    0.172    0.039    0.780
Cp_017_7    0.009    0.172    0.073    0.747
Cp_017_7    0.009    0.172    0.077    0.742
Cp_020_0    0.009    0.205    0.006    0.780
Cp_020_3    0.009    0.205    0.039    0.747
Cp_020_7    0.009    0.205    0.073    0.714
Cp_020_7    0.009    0.205    0.077    0.709
Cp_023_0    0.009    0.239    0.006    0.747
Cp_023_3    0.009    0.239    0.039    0.714
Cp_023_7    0.009    0.239    0.073    0.680
Cp_023_7    0.009    0.239    0.077    0.676
Cp_027_0    0.009    0.272    0.006    0.714
Cp_027_3    0.009    0.272    0.039    0.680
Cp_027_7    0.009    0.272    0.073    0.647
Cp_027_7    0.009    0.272    0.077    0.642
Cp_027_0    0.009    0.279    0.006    0.707
Cp_027_3    0.009    0.279    0.039    0.674
Cp_027_7    0.009    0.279    0.073    0.640
Cp_027_7    0.009    0.279    0.077    0.636
Cp_1_0_0    0.011    0.005    0.006    0.978
Cp_1_0_3    0.011    0.005    0.039    0.945
Cp_1_0_7    0.011    0.005    0.073    0.911
Cp_1_0_7    0.011    0.005    0.077    0.907
Cp_1_3_0    0.011    0.039    0.006    0.945
Cp_1_3_3    0.011    0.039    0.039    0.911
Cp_1_3_7    0.011    0.039    0.073    0.878
Cp_1_3_7    0.011    0.039    0.077    0.873
Cp_1_7_0    0.011    0.072    0.006    0.911
Cp_1_7_3    0.011    0.072    0.039    0.878
Cp_1_7_7    0.011    0.072    0.073    0.845
Cp_1_7_7    0.011    0.072    0.077    0.840
Cp_110_0    0.011    0.105    0.006    0.878
Cp_110_3    0.011    0.105    0.039    0.845
Cp_110_7    0.011    0.105    0.073    0.811
Cp_110_7    0.011    0.105    0.077    0.807
Cp_113_0    0.011    0.139    0.006    0.845
Cp_113_3    0.011    0.139    0.039    0.811
Cp_113_7    0.011    0.139    0.073    0.778
Cp_113_7    0.011    0.139    0.077    0.773
Cp_117_0    0.011    0.172    0.006    0.811
Cp_117_3    0.011    0.172    0.039    0.778
Cp_117_7    0.011    0.172    0.073    0.745
Cp_117_7    0.011    0.172    0.077    0.740
Cp_120_0    0.011    0.205    0.006    0.778
Cp_120_3    0.011    0.205    0.039    0.745
Cp_120_7    0.011    0.205    0.073    0.711
Cp_120_7    0.011    0.205    0.077    0.707
Cp_123_0    0.011    0.239    0.006    0.745
Cp_123_3    0.011    0.239    0.039    0.711
Cp_123_7    0.011    0.239    0.073    0.678
Cp_123_7    0.011    0.239    0.077    0.673
Cp_127_0    0.011    0.272    0.006    0.711
Cp_127_3    0.011    0.272    0.039    0.678
Cp_127_7    0.011    0.272    0.073    0.645
Cp_127_7    0.011    0.272    0.077    0.640
Cp_127_0    0.011    0.279    0.006    0.705
Cp_127_3    0.011    0.279    0.039    0.672
Cp_127_7    0.011    0.279    0.073    0.638
Cp_127_7    0.011    0.279    0.077    0.634
Cp_1_0_0    0.013    0.005    0.006    0.976
Cp_1_0_3    0.013    0.005    0.039    0.942
Cp_1_0_7    0.013    0.005    0.073    0.909
Cp_1_0_7    0.013    0.005    0.077    0.904
Cp_1_3_0    0.013    0.039    0.006    0.942
Cp_1_3_3    0.013    0.039    0.039    0.909
Cp_1_3_7    0.013    0.039    0.073    0.876
Cp_1_3_7    0.013    0.039    0.077    0.871
Cp_1_7_0    0.013    0.072    0.006    0.909
Cp_1_7_3    0.013    0.072    0.039    0.876
Cp_1_7_7    0.013    0.072    0.073    0.842
Cp_1_7_7    0.013    0.072    0.077    0.838
Cp_110_0    0.013    0.105    0.006    0.876
Cp_110_3    0.013    0.105    0.039    0.842
Cp_110_7    0.013    0.105    0.073    0.809
Cp_110_7    0.013    0.105    0.077    0.804
Cp_113_0    0.013    0.139    0.006    0.842
Cp_113_3    0.013    0.139    0.039    0.809
Cp_113_7    0.013    0.139    0.073    0.776
Cp_113_7    0.013    0.139    0.077    0.771
Cp_117_0    0.013    0.172    0.006    0.809
Cp_117_3    0.013    0.172    0.039    0.776
Cp_117_7    0.013    0.172    0.073    0.742
Cp_117_7    0.013    0.172    0.077    0.738
Cp_120_0    0.013    0.205    0.006    0.776
Cp_120_3    0.013    0.205    0.039    0.742
Cp_120_7    0.013    0.205    0.073    0.709
Cp_120_7    0.013    0.205    0.077    0.704
Cp_123_0    0.013    0.239    0.006    0.742
Cp_123_3    0.013    0.239    0.039    0.709
Cp_123_7    0.013    0.239    0.073    0.676
Cp_123_7    0.013    0.239    0.077    0.671
Cp_127_0    0.013    0.272    0.006    0.709
Cp_127_3    0.013    0.272    0.039    0.676
Cp_127_7    0.013    0.272    0.073    0.642
Cp_127_7    0.013    0.272    0.077    0.638
Cp_127_0    0.013    0.279    0.006    0.702
Cp_127_3    0.013    0.279    0.039    0.669
Cp_127_7    0.013    0.279    0.073    0.636
Cp_127_7    0.013    0.279    0.077    0.631
Cp_1_0_0    0.016    0.005    0.006    0.973
Cp_1_0_3    0.016    0.005    0.039    0.939
Cp_1_0_7    0.016    0.005    0.073    0.906
Cp_1_0_7    0.016    0.005    0.077    0.901
Cp_1_3_0    0.016    0.039    0.006    0.939
Cp_1_3_3    0.016    0.039    0.039    0.906
Cp_1_3_7    0.016    0.039    0.073    0.873
Cp_1_3_7    0.016    0.039    0.077    0.868
Cp_1_7_0    0.016    0.072    0.006    0.906
Cp_1_7_3    0.016    0.072    0.039    0.873
Cp_1_7_7    0.016    0.072    0.073    0.839
Cp_1_7_7    0.016    0.072    0.077    0.835
Cp_110_0    0.016    0.105    0.006    0.873
Cp_110_3    0.016    0.105    0.039    0.839
Cp_110_7    0.016    0.105    0.073    0.806
Cp_110_7    0.016    0.105    0.077    0.801
Cp_113_0    0.016    0.139    0.006    0.839
Cp_113_3    0.016    0.139    0.039    0.806
Cp_113_7    0.016    0.139    0.073    0.773
Cp_113_7    0.016    0.139    0.077    0.768
Cp_117_0    0.016    0.172    0.006    0.806
Cp_117_3    0.016    0.172    0.039    0.773
Cp_117_7    0.016    0.172    0.073    0.739
Cp_117_7    0.016    0.172    0.077    0.735
Cp_120_0    0.016    0.205    0.006    0.773
Cp_120_3    0.016    0.205    0.039    0.739
Cp_120_7    0.016    0.205    0.073    0.706
Cp_120_7    0.016    0.205    0.077    0.701
Cp_123_0    0.016    0.239    0.006    0.739
Cp_123_3    0.016    0.239    0.039    0.706
Cp_123_7    0.016    0.239    0.073    0.673
Cp_123_7    0.016    0.239    0.077    0.668
Cp_127_0    0.016    0.272    0.006    0.706
Cp_127_3    0.016    0.272    0.039    0.673
Cp_127_7    0.016    0.272    0.073    0.639
Cp_127_7    0.016    0.272    0.077    0.635
Cp_127_0    0.016    0.279    0.006    0.699
Cp_127_3    0.016    0.279    0.039    0.666
Cp_127_7    0.016    0.279    0.073    0.633
Cp_127_7    0.016    0.279    0.077    0.628
Cp_1_0_0    0.020    0.005    0.006    0.969
Cp_1_0_3    0.020    0.005    0.039    0.936
Cp_1_0_7    0.020    0.005    0.073    0.903
Cp_1_0_7    0.020    0.005    0.077    0.898
Cp_1_3_0    0.020    0.039    0.006    0.936
Cp_1_3_3    0.020    0.039    0.039    0.903
Cp_1_3_7    0.020    0.039    0.073    0.869
Cp_1_3_7    0.020    0.039    0.077    0.865
Cp_1_7_0    0.020    0.072    0.006    0.903
Cp_1_7_3    0.020    0.072    0.039    0.869
Cp_1_7_7    0.020    0.072    0.073    0.836
Cp_1_7_7    0.020    0.072    0.077    0.831
Cp_110_0    0.020    0.105    0.006    0.869
Cp_110_3    0.020    0.105    0.039    0.836
Cp_110_7    0.020    0.105    0.073    0.803
Cp_110_7    0.020    0.105    0.077    0.798
Cp_113_0    0.020    0.139    0.006    0.836
Cp_113_3    0.020    0.139    0.039    0.803
Cp_113_7    0.020    0.139    0.073    0.769
Cp_113_7    0.020    0.139    0.077    0.765
Cp_117_0    0.020    0.172    0.006    0.803
