Pressure (Pa): comment                                           
       12096
     5.000   -57.535    933.49  1740.624     0 0 0 0201
     5.000   -60.396    957.60  1833.550     0 0 0 0201
     5.000   -63.258    981.50  1926.524     0 0 0 0201
     5.000   -66.120   1005.20  2019.530     0 0 0 0201
     5.000   -70.890   1044.32  2174.565     0 0 0 0201
     5.000   -75.659   1082.92  2329.599     0 0 0 0201
     5.000   -80.429   1121.06  2484.683     0 0 0 0201
     5.000   -85.199   1158.65  2639.796     0 0 0 0201
     5.000   -89.969   1195.51  2794.947     0 0 0 0201
     5.000   -94.738   1231.36  2950.094     0 0 0 0201
     5.000   -99.508   1265.69  3105.304     0 0 0 0201
     5.000  -104.278   1297.90  3260.571     0 0 0 0201
     5.000  -107.879   1320.00  3377.829     0 0 023201
     5.000  -113.817   1331.88  3571.201     0 0 0 0231
     5.000  -118.587   1341.42  3726.750     0 0 0 0231
     5.000  -123.357   1350.96  3882.482     0 0 0 0231
     5.000  -128.126   1360.49  4038.384     0 0 0 0231
     5.000  -132.896   1370.03  4194.493     0 0 0 0231
     5.000  -137.666   1379.57  4350.772     0 0 0 0231
     5.000  -142.435   1389.11  4507.214     0 0 0 0231
     5.000  -147.205   1398.65  4663.858     0 0 0 0231
     5.000  -151.975   1401.95  4820.694     0 0 0 0231
     5.000  -156.745   1404.22  4977.761     0 0 0 0231
     5.000  -161.514   1406.49  5134.998     0 0 0 0231
     5.000  -166.284   1408.76  5292.476     0 0 0 0231
     5.000  -171.054   1411.03  5450.183     0 0 0 0231
     5.000  -175.823   1413.30  5608.062     0 0 0 0231
     5.000  -180.593   1415.57  5766.195     0 0 0 0231
     5.000  -185.363   1417.84  5924.530     0 0 0 0231
     5.000  -190.133   1420.11  6083.067     0 0 0 0231
     5.000  -194.902   1422.38  6241.791     0 0 0 0231
     5.000  -199.672   1424.65  6400.749     0 0 0 0231
     5.000  -204.442   1426.92  6559.927     0 0 0 0231
     5.000  -209.211   1429.19  6719.270     0 0 0 0231
     5.000  -213.981   1431.46  6878.866     0 0 0 0231
     5.000  -218.751   1433.73  7038.662     0 0 0 0231
     5.000  -228.290   1438.27  7358.851     0 0 0 0231
     5.000  -237.830   1442.81  7679.916     0 0 0 0231
     5.000  -247.369   1447.35  8001.794     0 0 0 0231
     5.000  -256.909   1451.89  8324.559     0 0 0 0231
     5.000  -266.448   1456.43  8648.166     0 0 0 0231
     5.000  -275.987   1460.97  8972.670     0 0 0 0231
     5.000  -285.527   1465.52  9298.131     0 0 0 0231
     5.000  -290.297   1467.79  9461.200     0 0 0 0231
     5.000  -295.066   1470.06  9624.497     0 0 0 0231
     5.000  -299.836   1472.33  9788.075     0 0 0 0231
     5.000  -304.606   1474.60  9951.918     0 0 0 0231
     5.000  -314.145   1479.14 10280.564     0 0 0 0231
     5.000  -323.685   1483.68 10610.478     0 0 0 0231
     5.000  -333.224   1488.22 10941.325     0 0 0 0231
     5.000  -342.763   1492.76 11273.150     0 0 0 0231
     5.000  -352.303   1497.30 11606.014     0 0 0 0231
     5.000  -361.842   1501.84 11939.732     0 0 0 0231
     5.000  -371.382   1506.38 12274.271     0 0 0 0231
     5.000  -380.921   1510.92 12609.531     0 0 0 0231
     5.000  -390.461   1515.46 12945.576     0 0 0 0231
     5.000  -400.000   1520.00 13282.375     1 0 024233
    10.000     0.670      0.00     0.000     1 0 0 0 12
    10.000     0.193     13.00    12.868     0 0 0 0 11
    10.000    -0.761     38.53    38.605     0 0 0 0 11
    10.000    -1.238     51.05    51.473     0 0 0 0 11
    10.000    -1.825     66.23    67.309     0 0 015 11
    10.000    -2.192     75.61    77.210     0 0 0 0151
    10.000    -2.669     87.65    90.078     0 0 0 0151
    10.000    -3.146     99.53   102.946     0 0 0 0151
    10.000    -3.623    111.26   115.814     0 0 0 0151
    10.000    -4.577    134.24   141.551     0 0 0 0151
    10.000    -5.054    145.49   154.419     0 0 0 0151
    10.000    -5.531    156.58   167.287     0 0 0 0151
    10.000    -6.008    167.51   180.156     0 0 0 0151
    10.000    -6.962    188.91   205.892     0 0 0 0151
    10.000    -7.916    209.68   231.629     0 0 0 0151
    10.000    -8.870    229.82   257.365     0 0 0 0151
    10.000    -9.824    249.33   283.102     0 0 0 0151
    10.000   -10.882    270.24   311.644     0 0 016151
    10.000   -11.732    288.99   335.409     0 0 0 0161
    10.000   -12.686    309.83   362.081     0 0 0 0161
    10.000   -13.640    330.45   388.754     0 0 0 0161
    10.000   -15.548    371.04   442.098     0 0 0 0161
    10.000   -17.456    410.77   495.443     0 0 0 0161
    10.000   -19.364    449.64   548.788     0 0 0 0161
    10.000   -21.000    482.28   594.528     0 0 017161
    10.000   -23.179    527.25   657.587     0 0 0 0171
    10.000   -25.087    566.25   712.804     0 0 0 0171
    10.000   -26.995    604.89   768.020     0 0 0 0171
    10.000   -28.903    643.19   823.237     0 0 0 0171
    10.000   -30.811    681.14   878.454     0 0 0 0171
    10.000   -32.000    704.61   912.863     0 0 020171
    10.000   -34.627    729.24   997.967     0 0 0 0201
    10.000   -37.489    755.72  1090.662     0 0 0 0201
    10.000   -40.351    782.05  1183.343     0 0 0 0201
    10.000   -43.213    808.17  1276.020     0 0 0 0201
    10.000   -46.075    833.90  1368.822     0 0 0 0201
    10.000   -48.937    859.25  1461.766     0 0 0 0201
    10.000   -51.799    884.26  1554.705     0 0 0 0201
    10.000   -54.661    908.97  1647.659     0 0 0 0201
    10.000   -57.523    933.39  1740.607     0 0 0 0201
    10.000   -60.384    957.57  1833.534     0 0 0 0201
    10.000   -63.246    981.54  1926.507     0 0 0 0201
    10.000   -66.108   1005.33  2019.513     0 0 0 0201
    10.000   -70.878   1044.64  2174.546     0 0 0 0201
    10.000   -75.648   1083.53  2329.613     0 0 0 0201
    10.000   -80.418   1122.05  2484.695     0 0 0 0201
    10.000   -85.188   1160.14  2639.802     0 0 0 0201
    10.000   -89.958   1197.71  2794.941     0 0 0 0201
    10.000   -94.728   1234.51  2950.103     0 0 0 0201
    10.000   -99.498   1270.18  3105.288     0 0 0 0201
    10.000  -106.509   1320.00  3333.462     0 0 023201
    10.000  -109.037   1325.06  3415.702     0 0 0 0231
    10.000  -113.807   1334.60  3571.046     0 0 0 0231
    10.000  -118.577   1344.14  3726.577     0 0 0 0231
    10.000  -123.347   1353.68  3882.293     0 0 0 0231
    10.000  -128.117   1363.22  4038.210     0 0 0 0231
    10.000  -132.887   1372.76  4194.301     0 0 0 0231
    10.000  -137.657   1382.30  4350.562     0 0 0 0231
    10.000  -142.426   1391.83  4506.985     0 0 0 0231
    10.000  -147.196   1400.33  4663.618     0 0 0 0231
    10.000  -151.966   1402.58  4820.448     0 0 0 0231
    10.000  -156.736   1404.84  4977.511     0 0 0 0231
    10.000  -161.506   1407.10  5134.777     0 0 0 0231
    10.000  -166.276   1409.36  5292.252     0 0 0 0231
    10.000  -171.046   1411.62  5449.956     0 0 0 0231
    10.000  -175.816   1413.87  5607.864     0 0 0 0231
    10.000  -180.585   1416.13  5765.961     0 0 0 0231
    10.000  -185.355   1418.39  5924.292     0 0 0 0231
    10.000  -190.125   1420.65  6082.826     0 0 0 0231
    10.000  -194.895   1422.91  6241.581     0 0 0 0231
    10.000  -199.665   1425.16  6400.536     0 0 0 0231
    10.000  -204.435   1427.42  6559.711     0 0 0 0231
    10.000  -209.205   1429.68  6719.085     0 0 0 0231
    10.000  -213.975   1431.94  6878.678     0 0 0 0231
    10.000  -218.745   1434.20  7038.471     0 0 0 0231
    10.000  -228.284   1438.71  7358.656     0 0 0 0231
    10.000  -237.824   1443.23  7679.717     0 0 0 0231
    10.000  -247.364   1447.74  8001.624     0 0 0 0231
    10.000  -256.904   1452.26  8324.386     0 0 0 0231
    10.000  -266.443   1456.78  8647.989     0 0 0 0231
    10.000  -275.983   1461.29  8972.524     0 0 0 0231
    10.000  -285.523   1465.81  9297.982     0 0 0 0231
    10.000  -290.293   1468.07  9461.049     0 0 0 0231
    10.000  -295.063   1470.32  9624.379     0 0 0 0231
    10.000  -299.833   1472.58  9787.956     0 0 0 0231
    10.000  -304.602   1474.84  9951.764     0 0 0 0231
    10.000  -314.142   1479.36 10280.444     0 0 0 0231
    10.000  -323.682   1483.87 10610.355     0 0 0 0231
    10.000  -333.222   1488.39 10941.236     0 0 0 0231
    10.000  -342.761   1492.90 11273.060     0 0 0 0231
    10.000  -352.301   1497.42 11605.923     0 0 0 0231
    10.000  -361.841   1501.94 11939.675     0 0 0 0231
    10.000  -371.381   1506.45 12274.213     0 0 0 0231
    10.000  -380.920   1510.97 12609.472     0 0 0 0231
    10.000  -390.460   1515.48 12945.517     0 0 0 0231
    10.000  -400.000   1520.00 13282.351     1 0 024233
    15.000     0.706      0.00     0.000     1 0 0 0 12
    15.000     0.229     12.93    12.868     0 0 0 0 11
    15.000    -0.725     38.34    38.605     0 0 0 0 11
    15.000    -1.202     50.82    51.473     0 0 0 0 11
    15.000    -1.771     65.50    66.823     0 0 015 11
    15.000    -2.156     75.31    77.210     0 0 0 0151
    15.000    -2.633     87.32    90.078     0 0 0 0151
    15.000    -3.110     99.18   102.946     0 0 0 0151
    15.000    -3.587    110.88   115.814     0 0 0 0151
    15.000    -4.541    133.81   141.551     0 0 0 0151
    15.000    -5.018    145.05   154.419     0 0 0 0151
    15.000    -5.495    156.12   167.287     0 0 0 0151
    15.000    -5.972    167.05   180.156     0 0 0 0151
    15.000    -6.926    188.42   205.892     0 0 0 0151
    15.000    -7.881    209.20   231.656     0 0 0 0151
    15.000    -8.835    229.32   257.392     0 0 0 0151
    15.000    -9.789    248.83   283.129     0 0 0 0151
    15.000   -10.897    270.70   313.020     0 0 016151
    15.000   -11.697    288.32   335.387     0 0 0 0161
    15.000   -12.651    309.13   362.059     0 0 0 0161
    15.000   -13.605    329.73   388.732     0 0 0 0161
    15.000   -15.513    370.29   442.076     0 0 0 0161
    15.000   -17.421    409.99   495.421     0 0 0 0161
    15.000   -19.329    448.83   548.766     0 0 0 0161
    15.000   -21.000    482.14   595.485     0 0 017161
    15.000   -23.146    526.40   657.589     0 0 0 0171
    15.000   -25.054    565.38   712.805     0 0 0 0171
    15.000   -26.962    604.00   768.022     0 0 0 0171
    15.000   -28.870    642.29   823.239     0 0 0 0171
    15.000   -30.778    680.22   878.455     0 0 0 0171
    15.000   -32.000    704.34   913.819     0 0 020171
    15.000   -34.594    728.65   997.857     0 0 0 0201
    15.000   -37.456    755.13  1090.553     0 0 0 0201
    15.000   -40.319    781.48  1183.268     0 0 0 0201
    15.000   -43.181    807.61  1275.947     0 0 0 0201
    15.000   -46.043    833.37  1368.752     0 0 0 0201
    15.000   -48.905    858.76  1461.698     0 0 0 0201
    15.000   -51.767    883.82  1554.640     0 0 0 0201
    15.000   -54.630    908.59  1647.629     0 0 0 0201
    15.000   -57.492    933.09  1740.578     0 0 0 0201
    15.000   -60.354    957.38  1833.538     0 0 0 0201
    15.000   -63.216    981.46  1926.512     0 0 0 0201
    15.000   -66.078   1005.40  2019.518     0 0 0 0201
    15.000   -70.849   1045.02  2174.582     0 0 0 0201
    15.000   -75.619   1084.35  2329.646     0 0 0 0201
    15.000   -80.389   1123.45  2484.725     0 0 0 0201
    15.000   -85.160   1162.36  2639.856     0 0 0 0201
    15.000   -89.930   1201.02  2794.976     0 0 0 0201
    15.000   -94.700   1239.23  2950.110     0 0 0 0201
    15.000   -99.471   1276.84  3105.290     0 0 0 0201
    15.000  -105.138   1320.00  3289.652     0 0 023201
    15.000  -109.011   1327.75  3415.600     0 0 0 0231
    15.000  -113.781   1337.29  3570.927     0 0 0 0231
    15.000  -118.552   1346.83  3726.475     0 0 0 0231
    15.000  -123.322   1356.37  3882.173     0 0 0 0231
    15.000  -128.092   1365.91  4038.072     0 0 0 0231
    15.000  -132.863   1375.45  4194.176     0 0 0 0231
    15.000  -137.633   1384.99  4350.417     0 0 0 0231
    15.000  -142.403   1394.53  4506.860     0 0 0 0231
    15.000  -147.174   1400.96  4663.520     0 0 0 0231
    15.000  -151.944   1403.20  4820.347     0 0 0 0231
    15.000  -156.714   1405.45  4977.406     0 0 0 0231
    15.000  -161.485   1407.70  5134.705     0 0 0 0231
    15.000  -166.255   1409.94  5292.178     0 0 0 0231
    15.000  -171.025   1412.19  5449.879     0 0 0 0231
    15.000  -175.795   1414.43  5607.784     0 0 0 0231
    15.000  -180.566   1416.68  5765.944     0 0 0 0231
    15.000  -185.336   1418.93  5924.272     0 0 0 0231
