
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab23        0.233    0.767
ab26        0.265    0.735
ab29        0.298    0.702
ab33        0.331    0.669
ab36        0.363    0.637
ab39        0.396    0.604
ab42        0.429    0.571
ab46        0.461    0.539
ab49        0.494    0.506
ab52        0.527    0.473
ab55        0.559    0.441
ab59        0.592    0.408
ab62        0.625    0.375
ab65        0.657    0.343
ab66        0.662    0.338

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.890    0.110
fo92        0.923    0.077
fo95        0.955    0.045
fo96.4      0.964    0.036

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp79        0.796    0.204
sp80        0.808    0.192

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op90__0     0.000    0.908    0.092
Op94__0     0.000    0.941    0.059
Op94__0     0.000    0.944    0.056
Op90__3     0.033    0.875    0.089
Op94__3     0.033    0.908    0.057
Op94__3     0.033    0.911    0.054
Op90__6     0.066    0.842    0.086
Op94__6     0.066    0.875    0.055
Op94__6     0.066    0.878    0.052
Op90__9     0.100    0.808    0.083
Op94__9     0.100    0.842    0.053
Op94__9     0.100    0.845    0.050
Op90_13     0.133    0.775    0.080
Op94_13     0.133    0.808    0.051
Op94_13     0.133    0.811    0.049
Op90_16     0.161    0.747    0.077
Op94_16     0.161    0.780    0.049
Op94_16     0.161    0.783    0.047

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_1_7_7    0.016    0.072    0.072    0.841
Cp_1_7_7    0.016    0.072    0.072    0.840
Cp_110_0    0.016    0.105    0.005    0.874
Cp_110_3    0.016    0.105    0.039    0.841
Cp_110_7    0.016    0.105    0.072    0.807
Cp_110_7    0.016    0.105    0.072    0.807
Cp_113_0    0.016    0.138    0.005    0.841
Cp_113_3    0.016    0.138    0.039    0.807
Cp_113_7    0.016    0.138    0.072    0.774
Cp_113_7    0.016    0.138    0.072    0.774
Cp_117_0    0.016    0.172    0.005    0.807
Cp_117_3    0.016    0.172    0.039    0.774
Cp_117_7    0.016    0.172    0.072    0.741
Cp_117_7    0.016    0.172    0.072    0.740
Cp_120_0    0.016    0.205    0.005    0.774
Cp_120_3    0.016    0.205    0.039    0.741
Cp_120_7    0.016    0.205    0.072    0.707
Cp_120_7    0.016    0.205    0.072    0.707
Cp_122_0    0.016    0.226    0.005    0.753
Cp_122_3    0.016    0.226    0.039    0.720
Cp_122_7    0.016    0.226    0.072    0.686
Cp_122_7    0.016    0.226    0.072    0.686
Cp_1_0_0    0.019    0.005    0.005    0.971
Cp_1_0_3    0.019    0.005    0.039    0.937
Cp_1_0_7    0.019    0.005    0.072    0.904
Cp_1_0_7    0.019    0.005    0.072    0.904
Cp_1_3_0    0.019    0.038    0.005    0.937
Cp_1_3_3    0.019    0.038    0.039    0.904
Cp_1_3_7    0.019    0.038    0.072    0.871
Cp_1_3_7    0.019    0.038    0.072    0.870
Cp_1_7_0    0.019    0.072    0.005    0.904
Cp_1_7_3    0.019    0.072    0.039    0.871
Cp_1_7_7    0.019    0.072    0.072    0.837
Cp_1_7_7    0.019    0.072    0.072    0.837
Cp_110_0    0.019    0.105    0.005    0.871
Cp_110_3    0.019    0.105    0.039    0.837
Cp_110_7    0.019    0.105    0.072    0.804
Cp_110_7    0.019    0.105    0.072    0.804
Cp_113_0    0.019    0.138    0.005    0.837
Cp_113_3    0.019    0.138    0.039    0.804
Cp_113_7    0.019    0.138    0.072    0.771
Cp_113_7    0.019    0.138    0.072    0.770
Cp_117_0    0.019    0.172    0.005    0.804
Cp_117_3    0.019    0.172    0.039    0.771
Cp_117_7    0.019    0.172    0.072    0.737
Cp_117_7    0.019    0.172    0.072    0.737
Cp_120_0    0.019    0.205    0.005    0.771
Cp_120_3    0.019    0.205    0.039    0.737
Cp_120_7    0.019    0.205    0.072    0.704
Cp_120_7    0.019    0.205    0.072    0.704
Cp_122_0    0.019    0.226    0.005    0.750
Cp_122_3    0.019    0.226    0.039    0.716
Cp_122_7    0.019    0.226    0.072    0.683
Cp_122_7    0.019    0.226    0.072    0.683
Cp_2_0_0    0.023    0.005    0.005    0.967
Cp_2_0_3    0.023    0.005    0.039    0.934
Cp_2_0_7    0.023    0.005    0.072    0.900
Cp_2_0_7    0.023    0.005    0.072    0.900
Cp_2_3_0    0.023    0.038    0.005    0.934
Cp_2_3_3    0.023    0.038    0.039    0.900
Cp_2_3_7    0.023    0.038    0.072    0.867
Cp_2_3_7    0.023    0.038    0.072    0.866
Cp_2_7_0    0.023    0.072    0.005    0.900
Cp_2_7_3    0.023    0.072    0.039    0.867
Cp_2_7_7    0.023    0.072    0.072    0.834
Cp_2_7_7    0.023    0.072    0.072    0.833
Cp_210_0    0.023    0.105    0.005    0.867
Cp_210_3    0.023    0.105    0.039    0.834
Cp_210_7    0.023    0.105    0.072    0.800
Cp_210_7    0.023    0.105    0.072    0.800
Cp_213_0    0.023    0.138    0.005    0.834
Cp_213_3    0.023    0.138    0.039    0.800
Cp_213_7    0.023    0.138    0.072    0.767
Cp_213_7    0.023    0.138    0.072    0.766
Cp_217_0    0.023    0.172    0.005    0.800
