          Origin time           Lat      Lon     Dp  Mag
1991 (119) 04 29 14 43 06.3   42.515    43.937   10  5.4 1991119144306
1991 (119) 04 29 18 23 15.2   42.583    43.764   10  5.5 1991119182315
1991 (119) 04 29 18 30 41.5   42.503    43.899   14  5.9 1991119183041
1991 (119) 04 29 20 32 54.2   42.541    43.333   10  5.4 1991119203254
1991 (123) 05 03 02 14 14.4   28.080   139.585  433  6.0 1991123021414
1991 (123) 05 03 20 19 38.8   42.683    43.247   10  5.3 1991123201938
1991 (126) 05 06 00 26 12.9   10.353   125.253   32  5.4 1991126002612
1991 (127) 05 07 13 09 28.7   39.430   144.714   10  6.4 1991127130928
1991 (128) 05 08 09 42 13.3  -16.602    66.884   10  5.1 1991128094213
1991 (133) 05 13 04 23 06.1   -4.884   101.873   33  5.2 1991133042306
1991 (137) 05 17 02 31 25.6   -4.390   142.715   59  5.8 1991137023125
1991 (139) 05 19 00 58 01.7    1.156   122.957   33  6.0 1991139005801
1991 (139) 05 19 01 19 50.8    1.333   123.009   33  5.3 1991139011950
1991 (141) 05 21 11 00 19.0   -7.517   126.539   18  6.2 1991141110019
1991 (141) 05 21 17 37 38.8   42.867    48.028   10  5.0 1991141173738
1991 (157) 06 06 02 28 46.8   -5.965   103.914   52  5.3 1991157022846
1991 (158) 06 07 11 51 25.9   -7.204   122.533  536  6.2 1991158115125
1991 (163) 06 12 20 11 35.0   42.789   143.329  109  5.7 1991163201135
1991 (166) 06 15 00 59 20.3   42.461    44.009    9  6.1 1991166005920
1991 (166) 06 15 11 15 28.0   15.119   120.355   10  5.7 1991166111528
1991 (166) 06 15 16 32 27.2   38.927   105.599   27  5.1 1991166163227
1991 (166) 06 15 23 02 14.3   10.098   125.855   71  6.0 1991166230214
1991 (171) 06 20 05 18 52.5    1.196   122.787   31  6.2 1991171051852
1991 (171) 06 20 08 23 24.0   18.425   120.637   43  5.2 1991171082324
1991 (172) 06 21 06 45 36.6   -6.001   104.872   53  5.6 1991172064536
1991 (177) 06 26 23 07 06.2   -0.079   123.558  114  5.5 1991177230706
1991 (179) 06 28 13 54 40.5   -6.609   105.579  112  5.3 1991179135440
1991 (185) 07 04 11 43 10.4   -8.099   124.681   28  6.2 1991185114310
1991 (186) 07 05 04 30 52.5   -9.585   114.673   53  5.7 1991186043052
1991 (187) 07 06 15 08 25.3    2.534   126.623   95  5.5 1991187150825
1991 (193) 07 12 10 42 21.2   45.364    21.057   10  5.3 1991193104221
1991 (194) 07 13 12 15 13.3   48.738   154.933   40  5.7 1991194121513
1991 (204) 07 23 11 22 10.0    5.826   125.983  146  5.6 1991204112210
1991 (205) 07 24 09 45 41.8   36.520    44.066   25  5.4 1991205094541
1991 (209) 07 28 11 12 07.2    0.989   120.591  615  5.5 1991209111207
1991 (215) 08 03 08 33 17.1   29.330   129.080   17  5.5 1991215083317
1991 (218) 08 06 14 49 30.5   35.725   141.044   28  5.9 1991218144930
1991 (220) 08 08 02 09 44.7    0.972   122.631   12  5.9 1991220020944
1991 (226) 08 14 12 53 26.0   54.389  -169.296  274  5.7 1991226125326
1991 (238) 08 26 14 59 44.9   42.100   144.635   28  5.8 1991238145944
1991 (246) 09 03 08 44 48.6   33.649   138.778   27  5.9 1991246084448
1991 (264) 09 21 16 13 36.9   -8.515   106.694   33  5.1 1991264161336
1991 (271) 09 28 06 57 25.6   -4.733   103.217   33  5.1 1991271065725
1991 (271) 09 28 20 26 56.1   -5.814   150.959   28  5.8 1991271202656
1991 (281) 10 08 03 31 15.5   45.587   149.049  145  6.0 1991281033115
1991 (287) 10 14 15 58 12.7   -9.094   158.442   23  6.3 1991287155812
1991 (287) 10 14 16 16 57.2   -9.080   158.599   31  5.9 1991287161657
1991 (287) 10 14 16 55 53.0   -9.026   158.356   18  5.5 1991287165553
1991 (288) 10 15 16 18 01.7   -6.494   130.043  136  5.9 1991288161801
1991 (292) 10 19 08 48 19.2   -9.012   117.170   96  5.8 1991292084819
1991 (296) 10 23 05 27 17.6   -6.986   105.401   61  5.4 1991296052717
1991 (298) 10 25 10 39 01.3   43.301   144.351   98  5.7 1991298103901
1991 (303) 10 30 04 02 42.5   -5.657   153.899   69  5.7 1991303040242
1991 (305) 11 01 02 51 12.7    1.235   122.105   37  5.6 1991305025112
1991 (305) 11 01 16 52 56.4   46.550   152.782   43  5.0 1991305165256
1991 (308) 11 04 06 24 02.6   -6.072   148.198   49  5.7 1991308062402
1991 (309) 11 05 06 56 03.0   -6.237   146.444  105  5.8 1991309065603
1991 (309) 11 05 21 16 16.0  -16.908    66.162   10  5.6 1991309211616
1991 (311) 11 07 09 21 23.7   -7.320   128.550  140  5.9 1991311092123
1991 (312) 11 08 17 12 43.9   -4.273   102.806   79  5.7 1991312171243
1991 (315) 11 11 22 34 40.8   24.705   142.570   24  6.0 1991315223440
1991 (317) 11 13 11 12 13.2    8.361   126.371   35  6.1 1991317111213
1991 (325) 11 21 12 38 28.5    5.782   126.832   73  6.0 1991325123828
1991 (330) 11 26 19 40 48.5   42.051   142.523   56  6.1 1991330194048
1991 (332) 11 28 17 19 55.5   36.924    49.603   15  5.6 1991332171955
1991 (339) 12 05 09 15 28.1  -41.266    80.401   10  5.3 1991339091528
1991 (341) 12 07 11 59 00.9   45.475   151.391   49  5.7 1991341115900
1991 (347) 12 13 02 33 51.8   45.578   151.560   30  6.1 1991347023351
1991 (347) 12 13 05 45 29.0   45.567   151.530   25  6.0 1991347054529
1991 (347) 12 13 18 59 06.5   45.521   151.707   18  6.1 1991347185906
1991 (347) 12 13 19 55 09.5   45.435   151.270   48  5.9 1991347195509
1991 (347) 12 13 19 58 18.5   45.439   151.427   19  6.1 1991347195818
1991 (351) 12 17 01 50 19.0   -3.611   102.034   72  5.6 1991351015019
1991 (351) 12 17 06 38 17.3   47.393   151.499  157  5.8 1991351063817
1991 (353) 12 19 01 33 40.4   45.253   151.176   27  6.0 1991353013340
1991 (353) 12 19 01 37 32.5   45.357   150.992   33  5.8 1991353013732
1991 (356) 12 22 08 43 13.4   45.533   151.021   24  6.3 1991356084313
1991 (356) 12 22 08 47 49.9   46.731   151.079   33  5.8 1991356084749
1991 (356) 12 22 21 15 42.4   -4.893   103.185   58  5.8 1991356211542
1991 (358) 12 24 03 38 17.9   -5.702   110.209  533  5.1 1991358033817
1991 (361) 12 27 04 19 46.6   -9.010   157.894   33  5.8 1991361041946
1991 (361) 12 27 09 09 37.5   51.019    98.150   13  5.8 1991361090937
1991 (363) 12 29 18 39 09.4   -4.421   132.727   36  6.0 1991363183909
1992 (013) 01 13 11 58 23.1    1.342   127.373  112  6.0 1992013115823
1992 (020) 01 20 13 37 03.0   27.983   139.405  498  5.8 1992020133703
1992 (021) 01 21 13 29 03.2   -4.028   102.433  101  5.2 1992021132903
1992 (033) 02 02 00 22 05.9  -51.654   139.406   10  5.7 1992033002205
1992 (033) 02 02 00 31 30.9  -51.547   139.704   10  5.6 1992033003130
1992 (033) 02 02 19 37 16.5   -4.158   102.157   62  5.2 1992033193716
1992 (037) 02 06 01 12 38.5   -5.720   103.156   36  5.9 1992037011238
1992 (037) 02 06 03 54 37.6   -5.684   103.162   33  5.3 1992037035437
1992 (037) 02 06 04 35 01.2   -5.775   103.076   36  5.4 1992037043501
1992 (052) 02 21 14 42 29.1   -6.228   147.613   55  5.5 1992052144229
1992 (058) 02 27 20 05 23.8   -6.191   147.576   38  5.9 1992058200523
1992 (062) 03 02 12 29 39.5   52.915   159.886   38  6.5 1992062122939
1992 (062) 03 02 14 07 59.5   52.835   159.876   34  5.0 1992062140759
1992 (063) 03 03 04 28 03.4   44.157   149.102   38  5.6 1992063042803
1992 (063) 03 03 08 29 09.1   -5.955   106.159  144  5.3 1992063082909
1992 (064) 03 04 03 49 54.7   -3.008   147.882   19  6.0 1992064034954
1992 (065) 03 05 08 55 05.5   11.513    42.812    7  5.5 1992065085505
1992 (065) 03 05 14 39 10.2   52.900   159.619   45  6.3 1992065143910
1992 (067) 03 07 18 37 13.0   -3.477   146.316   14  5.5 1992067183713
1992 (071) 03 11 19 42 59.2   -3.438   146.734   27  5.6 1992071194259
1992 (073) 03 13 16 01 04.4   52.451  -178.945  197  5.9 1992073160104
1992 (073) 03 13 17 18 39.9   39.710    39.605   27  6.2 1992073171839
1992 (073) 03 13 17 50 01.2   -9.191   152.394   25  5.6 1992073175001
1992 (075) 03 15 01 01 27.1   23.548   123.562   30  5.7 1992075010127
1992 (075) 03 15 16 16 24.2   39.532    39.929   20  5.5 1992075161624
1992 (079) 03 19 06 34 25.8   17.155   120.827   15  5.7 1992079063425
1992 (084) 03 24 17 19 30.4   -7.751   117.464  280  5.5 1992084171930
1992 (084) 03 24 22 47 06.6    3.613   127.008   53  5.6 1992084224706
1992 (094) 04 03 03 19 51.4   -5.696   151.164   27  5.8 1992094031951
1992 (098) 04 07 03 37 02.9   -4.172   131.005   52  5.9 1992098033702
1992 (101) 04 10 16 14 59.0   -4.351   104.528  227  5.4 1992101161459
1992 (107) 04 16 08 00 54.2    1.186   122.586   30  5.6 1992107080054
1992 (107) 04 16 23 54 04.2   -5.685   149.085  146  5.7 1992107235404
1992 (109) 04 18 09 16 52.8   -5.454   103.001   29  5.7 1992109091652
1992 (109) 04 18 19 26 40.8   -4.967   102.404  109  5.2 1992109192640
1992 (110) 04 19 18 32 19.0   23.861   121.594   15  5.8 1992110183219
1992 (117) 04 26 01 25 14.8    2.369   123.054  446  5.5 1992117012514
1992 (119) 04 28 01 55 47.2    5.602   124.054  477  5.5 1992119015547
1992 (121) 04 30 11 44 38.9   35.059    26.655   20  5.7 1992121114438
1992 (125) 05 04 08 45 01.7   -6.762   130.229   86  5.9 1992125084501
1992 (128) 05 07 06 23 36.1   41.175   144.700   12  5.8 1992128062336
1992 (136) 05 15 07 05 05.3   -6.075   147.572   58  6.2 1992136070505
1992 (137) 05 16 21 30 52.3   -6.047   105.284   33  5.3 1992137213052
1992 (138) 05 17 09 49 19.1    7.239   126.645   32  6.2 1992138094919
1992 (138) 05 17 10 15 31.3    7.191   126.762   33  6.4 1992138101531
1992 (142) 05 21 14 09 03.2   -6.175   147.236   47  5.7 1992142140903
1992 (142) 05 21 18 05 52.5   -8.748   117.604  143  5.7 1992142180552
1992 (142) 05 21 20 40 10.3   31.025   141.738   13  5.4 1992142204010
1992 (143) 05 22 21 40 37.2   -3.506   144.221   33  5.7 1992143214037
1992 (150) 05 29 21 52 26.8   31.170   141.731   18  5.6 1992150215226
1992 (151) 05 30 12 42 03.5   30.694   141.590   20  5.9 1992151124203
1992 (154) 06 02 20 03 21.0  -16.075    92.787   23  5.7 1992154200321
1992 (154) 06 02 21 05 00.8  -16.138    92.844   13  5.9 1992154210500
1992 (155) 06 03 01 55 13.3   28.083   128.093   55  4.9 1992155015513
1992 (155) 06 03 06 10 54.3   51.130   178.743   21  5.9 1992155061054
1992 (156) 06 04 04 04 03.5   28.018   128.050   17  5.6 1992156040403
1992 (158) 06 06 00 41 12.9   28.107   128.032   21  5.1 1992158004112
1992 (158) 06 06 21 40 40.8    1.068   124.040   17  5.9 1992158214040
1992 (161) 06 09 00 31 56.3   -8.474   111.100   63  5.9 1992161003156
1992 (162) 06 10 02 13 45.4    1.084   124.089   30  5.9 1992162021345
1992 (164) 06 12 11 06 30.1    2.617   125.687   79  5.8 1992164110630
1992 (166) 06 14 01 21 09.8   -6.157   104.252   54  5.2 1992166012109
1992 (167) 06 15 20 39 11.3   -0.073   123.030  127  5.9 1992167203911
1992 (168) 06 16 05 51 03.7   45.704   142.263  316  5.7 1992168055103
1992 (172) 06 20 07 10 35.7   -4.198   102.045   33  5.3 1992172071035
1992 (174) 06 22 15 17 43.3   16.867   147.009   65  5.7 1992174151743
1992 (176) 06 24 12 27 11.2   -5.311   102.974   46  5.4 1992176122711
1992 (192) 07 10 09 31 27.5   44.695   149.482   19  6.2 1992192093127
1992 (193) 07 11 12 53 13.3   -4.369   102.839   57  5.3 1992193125313
1992 (194) 07 12 11 08 55.3   41.457   142.031   63  6.0 1992194110855
1992 (194) 07 12 13 21 30.4   44.524   149.568   51  5.7 1992194132130
1992 (194) 07 12 23 40 59.8    3.090   122.005  616  5.5 1992194234059
1992 (195) 07 13 15 34 04.5   51.171   157.626   45  5.7 1992195153404
1992 (197) 07 15 18 04 19.4   -8.774   121.442  130  5.7 1992197180419
