          Origin time           Lat      Lon     Dp  Mag
2000 (320) 11 15 15 05 38.1   38.397    42.922   65  5.2 2000320150538
2000 (321) 11 16 04 54 56.7   -3.980   152.169   33  6.0 2000321045456
2000 (321) 11 16 05 11 18.0   -5.320   153.472   33  5.8 2000321051118
2000 (321) 11 16 05 21 22.4   -5.069   153.238   33  6.0 2000321052122
2000 (321) 11 16 05 51 51.1   -4.498   153.704   33  5.8 2000321055151
2000 (321) 11 16 07 42 16.9   -5.233   153.102   30  6.2 2000321074216
2000 (321) 11 16 07 45 32.9   -4.827   153.226   33  6.5 2000321074532
2000 (321) 11 16 07 58 35.7   -4.928   153.074   33  5.7 2000321075835
2000 (321) 11 16 11 05 41.6   -5.290   152.968   33  5.9 2000321110541
2000 (322) 11 17 01 37 04.1   -5.120   152.897   33  5.7 2000322013704
2000 (322) 11 17 06 09 21.2   -6.525   105.245   29  5.1 2000322060921
2000 (322) 11 17 21 01 56.4   -5.496   151.781   33  6.2 2000322210156
2000 (322) 11 17 21 45 51.9   -5.426   152.017   33  5.7 2000322214551
2000 (323) 11 18 02 05 48.8   -5.097   153.181   33  5.9 2000323020548
2000 (323) 11 18 06 54 58.3   -5.228   151.771   33  6.2 2000323065458
2000 (323) 11 18 15 04 15.0   -4.583   153.140   33  5.7 2000323150415
2000 (323) 11 18 23 05 39.7   -5.384   153.452   33  5.7 2000323230539
2000 (324) 11 19 05 35 19.3   -5.588   151.867   33  5.3 2000324053519
2000 (324) 11 19 16 22 14.9   -4.801   153.112   33  5.4 2000324162214
2000 (326) 11 21 17 33 34.4   -5.486   152.153   33  5.7 2000326173334
2000 (326) 11 21 21 21 05.2   -5.430   152.688   33  5.6 2000326212105
2000 (328) 11 23 18 43 15.6   -4.585   153.058   33  5.7 2000328184315
2000 (328) 11 23 23 10 35.4   -4.655   152.998   33  5.5 2000328231035
2000 (330) 11 25 18 09 11.4   40.245    49.946   50  5.8 2000330180911
2000 (330) 11 25 18 10 47.3   40.167    49.954   33  6.2 2000330181047
2000 (334) 11 29 10 44 59.0   39.856    50.209   33  5.0 2000334104459
2000 (341) 12 06 17 11 06.4   39.566    54.799   30  6.7 2000341171106
2000 (341) 12 06 22 57 40.0   -4.218   152.725   31  6.1 2000341225740
2000 (342) 12 07 09 31 19.1   -4.274   152.786   33  5.7 2000342093119
2000 (350) 12 15 16 44 47.6   38.457    31.351   10  5.1 2000350164447
2000 (354) 12 19 13 11 47.3   11.765   144.760   33  6.3 2000354131147
2000 (355) 12 20 16 49 43.2   -9.231   154.353   33  5.8 2000355164943
2000 (356) 12 21 01 01 27.7   -5.706   151.122   33  6.4 2000356010127
2000 (357) 12 22 10 13 01.1   44.790   147.196  140  6.0 2000357101301
2000 (362) 12 27 07 03 47.8   -9.330   154.593   33  5.2 2000362070347
2000 (363) 12 28 04 34 28.4   -4.050   152.307   33  5.6 2000363043428
2000 (363) 12 28 18 54 36.6   -4.864   102.599   33  5.3 2000363185436
2001 (001) 01 01 06 57 04.1    6.898   126.579   33  6.4 2001001065704
2001 (001) 01 01 08 54 31.5    6.631   126.899   33  5.6 2001001085431
2001 (002) 01 02 07 30 03.7    6.749   126.809   33  5.8 2001002073003
2001 (002) 01 02 23 17 41.9  -11.160   162.440   33  5.1 2001002231741
2001 (004) 01 04 03 50 11.4   -8.403   108.374   33  5.3 2001004035011
2001 (006) 01 06 15 55 31.9    5.846   127.349   53  5.2 2001006155531
2001 (007) 01 07 12 55 46.8   -8.703   108.893   33  5.5 2001007125546
2001 (014) 01 14 08 58 25.0   22.094   143.751   87  5.8 2001014085825
2001 (015) 01 15 05 52 16.2  -40.344    78.362   10  5.7 2001015055216
2001 (016) 01 16 13 25 01.0   -3.957   101.746   33  6.0 2001016132501
2001 (016) 01 16 13 25 09.8   -4.021   101.776   28  6.5 2001016132509
2001 (016) 01 16 13 39 06.2   -4.197   101.614   33  5.4 2001016133906
2001 (016) 01 16 13 54 29.9   -4.308   101.452   33  5.1 2001016135429
2001 (016) 01 16 14 07 49.6   -4.347   101.633   33  5.2 2001016140749
2001 (016) 01 16 14 25 10.5   -4.308   101.648   33  5.6 2001016142510
2001 (016) 01 16 16 49 58.5   -4.194   101.604   57  5.6 2001016164958
2001 (018) 01 18 07 26 39.3   -4.046   101.746   55  5.5 2001018072639
2001 (025) 01 25 06 49 17.1   -5.911   103.767   64  5.4 2001025064917
2001 (029) 01 29 14 08 05.4   -5.893   103.304   33  5.1 2001029140805
2001 (029) 01 29 23 21 25.9   -0.677   133.334   33  5.9 2001029232125
2001 (039) 02 08 05 41 39.9   24.269   125.112   15  5.5 2001039054139
2001 (044) 02 13 19 28 30.2   -4.680   102.562   36  6.2 2001044192830
2001 (044) 02 13 22 27 14.9   -5.154   102.146   33  5.2 2001044222714
2001 (045) 02 14 01 39 31.4   -5.023   102.727   33  5.2 2001045013931
2001 (045) 02 14 04 45 35.6   -5.164   102.488   33  5.5 2001045044535
2001 (045) 02 14 13 36 39.5   48.544   153.297  147  5.8 2001045133639
2001 (046) 02 15 14 46 36.2   -4.784   102.761   86  5.1 2001046144636
2001 (047) 02 16 05 59 09.4   -7.161   117.488  521  5.9 2001047055909
2001 (047) 02 16 13 10 24.3   -4.781   102.743   66  5.3 2001047131024
2001 (047) 02 16 23 38 03.7   -6.080   104.680   33  5.0 2001047233803
2001 (049) 02 18 13 04 53.4  -47.456    32.386   10  5.5 2001049130453
2001 (052) 02 21 15 22 20.8   -4.900   102.448   33  5.7 2001052152220
2001 (055) 02 24 07 23 48.7    1.271   126.249   35  6.6 2001055072348
2001 (055) 02 24 16 33 44.6    1.555   126.431   33  5.8 2001055163344
2001 (057) 02 26 05 58 22.4   46.815   144.525  392  5.8 2001057055822
2001 (059) 02 28 09 35 16.5    6.582   126.852   60  5.5 2001059093516
2001 (067) 03 08 21 11 24.5   -5.362   102.186   33  5.6 2001067211124
2001 (071) 03 12 23 35 08.3   -7.206   106.116   33  5.5 2001071233508
2001 (073) 03 14 18 56 18.8    0.451   121.892  109  5.9 2001073185618
2001 (076) 03 17 05 54 27.0   -4.885   102.626   50  5.1 2001076055427
2001 (078) 03 19 05 52 15.8   -4.028   128.020   33  6.0 2001078055215
2001 (078) 03 19 05 56 57.0   -3.999   127.847   33  5.8 2001078055657
2001 (082) 03 23 05 24 11.9   32.951    46.625   33  5.1 2001082052411
2001 (082) 03 23 11 30 10.5   44.071   148.054   33  5.9 2001082113010
2001 (083) 03 24 06 27 53.5   34.083   132.526   50  6.4 2001083062753
2001 (094) 04 04 07 44 11.1   -5.176   132.369   33  5.9 2001094074411
2001 (098) 04 08 11 57 25.4   -4.381   102.199   64  5.4 2001098115725
2001 (104) 04 14 23 27 26.6   30.092   141.768   10  6.0 2001104232726
2001 (107) 04 17 21 45 08.5   -4.395   101.682   33  5.0 2001107214508
2001 (109) 04 19 03 13 25.5   -7.455   155.893   12  6.0 2001109031325
2001 (109) 04 19 20 58 26.1   -7.306   155.965   20  5.7 2001109205826
2001 (109) 04 19 21 43 42.2   -7.410   155.865   17  6.0 2001109214342
2001 (111) 04 21 15 41 31.6   -4.748   103.097   88  5.1 2001111154131
2001 (115) 04 25 21 02 42.3   -9.183   106.487   33  5.5 2001115210242
2001 (116) 04 26 17 48 57.4   43.097   145.923   86  5.7 2001116174857
2001 (129) 05 09 17 38 26.1  -10.318   161.232   67  6.0 2001129173826
2001 (145) 05 25 00 40 50.6   44.268   148.393   33  6.1 2001145004050
2001 (145) 05 25 05 06 10.6   -7.869   110.179  143  5.8 2001145050610
2001 (146) 05 26 04 05 49.4   -4.304   102.677   51  5.2 2001146040549
2001 (147) 05 27 21 17 50.0   -4.333   102.840  100  5.1 2001147211750
2001 (149) 05 29 23 37 19.4   -7.022   155.037   14  5.7 2001149233719
2001 (152) 06 01 20 36 56.7   -7.199   154.923   33  5.6 2001152203656
2001 (152) 06 01 23 09 21.6   -7.742   107.213   90  5.1 2001152230921
2001 (155) 06 04 22 41 01.6   17.096   145.830   83  5.7 2001155224101
2001 (156) 06 05 09 00 05.3   -6.884   146.388   10  5.8 2001156090005
2001 (156) 06 05 15 33 29.7   42.472    48.634   60  5.0 2001156153329
2001 (161) 06 10 01 52 08.0   39.873    53.890   34  5.5 2001161015208
2001 (164) 06 13 13 17 55.1   24.463   122.397   77  5.6 2001164131755
2001 (165) 06 14 02 35 25.8   24.513   122.033   32  5.7 2001165023525
2001 (165) 06 14 19 48 47.8   51.160  -179.828   18  6.0 2001165194847
2001 (165) 06 14 23 31 28.8   18.852   146.810   33  5.5 2001165233128
2001 (166) 06 15 06 17 45.3   18.833   146.983   33  5.4 2001166061745
2001 (174) 06 23 14 34 19.3    1.443   125.691   70  5.6 2001174143419
2001 (175) 06 24 13 18 51.7   44.189   148.510   33  5.8 2001175131851
2001 (179) 06 28 03 46 28.1   -6.990   108.275   36  5.0 2001179034628
2001 (181) 06 30 16 34 36.0   -6.406   146.761  103  5.8 2001181163436
2001 (182) 07 01 01 46 06.1   -4.312   152.956   28  5.8 2001182014606
2001 (183) 07 02 23 23 53.5   -5.210   102.696   33  5.1 2001183232353
2001 (184) 07 03 13 10 42.6   21.641   142.984  290  6.0 2001184131042
2001 (189) 07 08 17 54 18.7   -6.663   152.108   10  6.0 2001189175418
2001 (191) 07 10 21 42 08.8   39.832    41.623   33  5.0 2001191214208
2001 (201) 07 20 09 45 54.6    6.133   126.825   90  5.5 2001201094554
2001 (207) 07 26 00 21 36.9   39.059    24.244   10  6.0 2001207002136
2001 (211) 07 30 21 56 19.1   -4.209   102.177   33  5.0 2001211215619
2001 (212) 07 31 09 43 14.5   -5.281   103.336   33  5.5 2001212094314
2001 (214) 08 02 23 41 06.1   56.260   163.790   14  5.9 2001214234106
2001 (216) 08 04 01 44 53.7    2.809   126.995   33  5.8 2001216014453
2001 (221) 08 09 13 20 17.4   -7.352   120.719   33  5.5 2001221132017
2001 (225) 08 13 20 11 23.3   41.046   142.308   38  6.0 2001225201123
2001 (229) 08 17 22 25 49.0   25.748   126.190   33  5.6 2001229222549
2001 (234) 08 22 15 58 01.8   47.160    70.200   33  5.0 2001234155801
2001 (235) 08 23 21 45 03.1   -3.373   146.311   10  5.8 2001235214503
2001 (238) 08 26 18 59 07.7   -5.102   102.004   33  5.0 2001238185907
2001 (239) 08 27 01 16 47.4    1.091   126.360   33  5.8 2001239011647
2001 (247) 09 04 18 39 25.8   -5.113   103.483   33  5.0 2001247183925
2001 (250) 09 07 02 45 59.0  -13.166    97.297   10  6.2 2001250024559
2001 (254) 09 11 14 56 50.9   -0.578   133.130   33  5.8 2001254145650
2001 (256) 09 13 01 27 07.2   -3.184   101.436   73  5.2 2001256012707
2001 (280) 10 07 02 21 09.8   -3.296   142.934   10  5.7 2001280022109
2001 (281) 10 08 18 14 26.4   52.591   160.324   48  5.9 2001281181426
2001 (281) 10 08 18 20 38.2   52.631   160.214   33  5.9 2001281182038
2001 (282) 10 09 23 53 37.0   47.758   155.102   33  6.5 2001282235337
2001 (285) 10 12 15 02 16.8   12.686   144.980   37  6.7 2001285150216
2001 (286) 10 13 16 27 00.0    0.839   125.980   33  5.6 2001286162700
2001 (287) 10 14 01 10 45.6   -8.598   110.633   67  5.6 2001287011045
2001 (292) 10 19 03 28 44.4   -4.102   123.907   33  6.3 2001292032844
2001 (301) 10 28 22 31 09.9   -5.227   102.518   33  5.0 2001301223109
2001 (302) 10 29 18 04 04.9   -4.984   102.084   33  5.0 2001302180404
2001 (304) 10 31 09 10 20.0   -5.912   150.196   33  5.9 2001304091020
2001 (309) 11 05 17 11 47.8  -17.805    64.941   10  5.0 2001309171147
2001 (317) 11 13 10 43 23.0   53.627   170.551   33  5.5 2001317104323
2001 (324) 11 20 21 08 18.4   -6.880   128.921   33  5.7 2001324210818
2001 (335) 12 01 05 09 03.4   -4.759   101.903   58  5.2 2001335050903
2001 (336) 12 02 13 01 53.6   39.402   141.089  123  6.1 2001336130153
2001 (338) 12 04 18 09 26.6   18.961   120.240   33  5.5 2001338180926
2001 (342) 12 08 20 29 34.2   28.251   129.574   33  5.7 2001342202934
2001 (343) 12 09 18 15 02.6   -0.002   122.870  156  5.7 2001343181502
2001 (346) 12 12 14 02 35.0  -42.813   124.688   10  6.5 2001346140235
2001 (352) 12 18 04 02 58.2   23.954   122.734   14  6.3 2001352040258
2001 (357) 12 23 22 52 54.3   -9.613   159.530   16  6.2 2001357225254
2001 (363) 12 29 14 32 22.6   -6.009   102.849   33  5.6 2001363143222
2002 (001) 01 01 11 29 22.7    6.303   125.650  138  5.9 2002001112922
2002 (003) 01 03 00 54 35.5   -4.333   102.040   33  5.0 2002003005435
2002 (007) 01 07 13 26 26.4   18.957   144.958  599  5.7 2002007132626
2002 (007) 01 07 19 13 45.1   -4.039   101.440   33  5.3 2002007191345
2002 (010) 01 10 11 14 56.9   -3.212   142.427   11  6.0 2002010111456
2002 (013) 01 13 14 10 56.5   -5.651   151.074   43  5.9 2002013141056
2002 (015) 01 15 07 12 58.0   -6.314   105.205   10  5.8 2002015071258
2002 (015) 01 15 09 01 15.9   -5.527   151.097   41  5.5 2002015090115
2002 (021) 01 21 14 03 51.6   -5.630   102.342   33  5.0 2002021140351
2002 (022) 01 22 04 53 52.6   35.790    26.617   88  6.2 2002022045352
2002 (022) 01 22 23 03 54.8   -2.883   101.211   33  5.0 2002022230354
2002 (028) 01 28 05 31 21.4   -4.461   102.090   33  5.0 2002028053121
2002 (028) 01 28 13 50 28.7   49.381   155.594   33  6.1 2002028135028
2002 (030) 01 30 12 58 19.2   -6.252   150.887   33  5.9 2002030125819
2002 (032) 02 01 21 55 20.9   45.464   136.719  355  6.2 2002032215520
2002 (034) 02 03 07 11 28.4   38.573    31.271    5  5.7 2002034071128
2002 (034) 02 03 07 14 36.4   38.701    30.872   10  5.5 2002034071436
2002 (034) 02 03 09 26 43.3   38.632    30.902   10  5.7 2002034092643
2002 (036) 02 05 13 27 24.6   -5.345   151.248   39  5.8 2002036132724
2002 (050) 02 19 00 35 45.7   -3.731   150.992   10  5.9 2002050003545
2002 (055) 02 24 13 14 48.3   -5.700   110.897  545  5.2 2002055131448
2002 (059) 02 28 01 50 48.9   -5.685   151.258   40  6.0 2002059015048
2002 (064) 03 05 21 16 09.1    6.033   124.249   31  6.3 2002064211609
2002 (067) 03 08 18 27 53.1    5.871   124.274   23  5.6 2002067182753
2002 (076) 03 17 03 37 19.9    0.680   122.320   79  5.6 2002076033719
2002 (076) 03 17 19 33 33.7  -45.221    35.105   10  5.5 2002076193333
2002 (077) 03 18 22 24 38.2   -4.809   102.189   51  5.2 2002077222438
2002 (078) 03 19 22 14 14.9   -6.486   129.901  148  5.7 2002078221414
2002 (079) 03 20 04 00 18.6   30.512   141.962   10  5.5 2002079040018
2002 (081) 03 22 17 36 59.2    4.585   126.319   76  5.7 2002081173659
2002 (085) 03 26 03 45 48.7   23.346   124.090   33  5.8 2002085034548
2002 (089) 03 30 08 57 26.1   -4.805   103.131   33  5.1 2002089085726
2002 (089) 03 30 22 31 42.4   -5.270   102.146   33  5.0 2002089223142
2002 (090) 03 31 06 52 50.4   24.279   122.179   32  6.4 2002090065250
2002 (097) 04 07 23 36 59.6   -7.642   107.868   43  5.0 2002097233659
2002 (098) 04 08 03 48 55.2  -51.068   139.269   10  5.6 2002098034855
2002 (103) 04 13 15 36 02.4    1.096   125.379   54  5.6 2002103153602
2002 (111) 04 21 19 24 03.4   -5.358   108.343  450  5.1 2002111192403
2002 (114) 04 24 19 48 07.1   34.642    47.400   33  5.2 2002114194807
2002 (116) 04 26 07 15 11.5   53.508   160.632   62  5.9 2002116071511
2002 (116) 04 26 16 06 07.0   13.088   144.619   85  6.5 2002116160607
2002 (129) 05 09 23 41 30.8    2.646   128.302  173  5.7 2002129234130
2002 (134) 05 14 16 56 10.4  -36.518    78.932   10  5.6 2002134165610
2002 (135) 05 15 03 46 05.7   24.636   121.922   10  5.5 2002135034605
2002 (138) 05 18 15 15 08.8   -2.907    33.733   10  5.2 2002138151508
2002 (140) 05 20 21 09 16.2   -6.935   103.868   33  5.1 2002140210916
2002 (142) 05 22 00 12 23.4   -4.810   101.762   33  5.2 2002142001223
2002 (143) 05 23 22 05 51.8   -5.816   102.064   10  5.5 2002143220551
2002 (146) 05 26 00 10 21.0    1.832   127.238  109  5.8 2002146001021
2002 (148) 05 28 16 45 17.1   24.069   122.264   33  5.8 2002148164517
2002 (157) 06 06 23 53 48.4   -0.879   148.330   10  5.7 2002157235348
2002 (161) 06 10 22 48 36.2   10.985   140.690   33  5.9 2002161224836
2002 (164) 06 13 01 27 19.4  -47.801    99.751   10  5.5 2002164012719
2002 (167) 06 16 00 00 25.6    0.495   119.901   34  5.7 2002167000025
2002 (167) 06 16 18 31 10.8   -2.338   102.559  231  5.4 2002167183110
2002 (169) 06 18 03 19 24.2   33.326    45.913   33  5.0 2002169031924
2002 (173) 06 22 02 58 21.3   35.626    49.047   10  6.2 2002173025821
2002 (178) 06 27 05 50 35.1   -6.963   104.181   11  6.0 2002178055035
2002 (178) 06 27 08 31 43.9   -7.080   103.777   10  5.2 2002178083143
2002 (178) 06 27 10 43 55.8   -7.075   103.923   10  5.0 2002178104355
2002 (179) 06 28 17 19 30.2   43.752   130.666  566  6.7 2002179171930
2002 (179) 06 28 19 56 08.5   -7.263   103.628   10  5.0 2002179195608
2002 (184) 07 03 23 00 18.4   -5.032   147.336   31  5.6 2002184230018
2002 (190) 07 09 04 55 43.8   -3.282   101.487   33  5.1 2002190045543
2002 (192) 07 11 07 36 26.0   24.075   122.288   43  5.6 2002192073626
2002 (222) 08 10 09 45 41.8   12.128    43.885   10  5.0 2002222094541
2002 (222) 08 10 15 56 02.0   13.654    39.813   10  5.2 2002222155602
2002 (225) 08 13 06 05 37.6   -6.998   104.016   33  5.4 2002225060537
2002 (226) 08 14 13 12 39.8    7.831   136.880   10  6.1 2002226131239
2002 (226) 08 14 13 57 52.1   14.101   146.199   30  6.1 2002226135752
2002 (227) 08 15 05 30 26.2   -1.196   121.333   10  5.7 2002227053026
2002 (232) 08 20 10 59 32.0   30.986   141.966    9  5.4 2002232105932
2002 (236) 08 24 18 40 53.4   43.110   146.118   42  5.9 2002236184053
2002 (238) 08 26 14 55 13.9   -6.750   105.705   62  5.6 2002238145513
2002 (241) 08 29 05 36 54.0   -3.358   145.766   33  5.2 2002241053654
2002 (242) 08 30 05 58 21.0   44.479   149.081   31  5.7 2002242055821
2002 (244) 09 01 05 56 24.3   24.056   122.272   39  5.5 2002244055624
2002 (245) 09 02 01 00 03.2   35.701    48.838   10  5.1 2002245010003
2002 (251) 09 08 18 44 23.7   -3.302   142.945   13  6.5 2002251184423
2002 (258) 09 15 08 39 32.7   44.833   129.923  586  5.8 2002258083932
2002 (259) 09 16 13 23 00.9   -3.313   142.679   10  5.9 2002259132300
2002 (259) 09 16 18 48 26.7   66.938   -18.456   10  5.5 2002259184826
2002 (260) 09 17 11 20 23.3   -3.284   142.769   10  5.7 2002260112023
2002 (263) 09 20 13 33 41.6   -1.743   134.013   10  5.7 2002263133341
2002 (263) 09 20 15 43 35.4   -1.680   134.234   10  5.9 2002263154335
2002 (267) 09 24 04 13 11.6  -10.535   161.200   10  5.5 2002267041311
2002 (267) 09 24 22 54 21.4  -10.565   161.110   10  5.7 2002267225421
2002 (267) 09 24 23 01 28.6  -10.650   161.210   19  5.7 2002267230128
2002 (268) 09 25 22 28 11.9   31.995    49.329   10  5.5 2002268222811
2002 (275) 10 02 21 10 07.9   -5.859   103.029   33  5.2 2002275211007
2002 (276) 10 03 19 05 10.6   -7.526   115.663  315  6.0 2002276190510
2002 (279) 10 06 15 46 33.0   -8.197   118.341   10  5.8 2002279154633
2002 (281) 10 08 01 23 58.7  -42.039    88.379   10  5.3 2002281012358
2002 (283) 10 10 10 50 20.5   -1.757   134.297   10  6.5 2002283105020
2002 (283) 10 10 12 28 25.8   -1.511   133.973   10  6.2 2002283122825
2002 (283) 10 10 12 29 35.1   -1.401   133.934   10  6.0 2002283122935
2002 (283) 10 10 21 19 58.5   -1.478   134.111   10  5.8 2002283211958
2002 (285) 10 12 23 43 12.8   15.096   118.504   33  5.6 2002285234312
2002 (287) 10 14 14 12 43.7   41.174   142.249   61  5.9 2002287141243
2002 (289) 10 16 10 12 21.4   51.952   157.323  102  6.1 2002289101221
2002 (290) 10 17 17 52 44.1   -3.597   140.226   33  5.6 2002290175244
2002 (292) 10 19 00 43 56.4   -3.667   140.312   33  5.3 2002292004356
2002 (292) 10 19 12 09 05.3   44.297   149.960   33  5.4 2002292120905
2002 (297) 10 24 06 08 37.9   -1.884    29.004   11  5.9 2002297060837
2002 (301) 10 28 20 37 52.6   -6.411   104.487   33  5.1 2002301203752
2002 (304) 10 31 01 35 16.6   -3.441   148.638   10  5.3 2002304013516
2002 (305) 11 01 14 02 48.2   46.084    94.049   10  5.1 2002305140248
2002 (307) 11 03 03 37 42.0   38.886   141.977   39  5.7 2002307033742
2002 (308) 11 04 03 19 18.3   -5.525    36.035   10  5.5 2002308031918
2002 (311) 11 07 15 14 06.7   51.197   179.334   33  5.8 2002311151406
2002 (321) 11 17 04 53 48.4   47.946   146.419  470  5.8 2002321045348
2002 (322) 11 18 22 51 56.4   -4.208   102.180   33  5.5 2002322225156
2002 (330) 11 26 00 48 15.0   51.465  -173.537   20  5.9 2002330004815
2002 (336) 12 02 13 42 10.3    1.511   126.392   10  5.7 2002336134210
2002 (344) 12 10 21 02 19.8   34.301   141.595   10  5.2 2002344210219
2002 (345) 12 11 03 49 40.1   -3.810   135.123   10  5.8 2002345034940
2002 (345) 12 11 10 00 31.1   -3.737   135.234   10  5.6 2002345100031
2002 (346) 12 12 08 30 42.7   -4.786   153.275   34  5.9 2002346083042
2002 (354) 12 20 14 14 42.0   -3.076   147.943   33  5.8 2002354141442
2002 (356) 12 22 21 44 10.8   17.034   119.997   33  5.3 2002356214410
2002 (364) 12 30 04 49 08.6    7.471   123.407   10  5.9 2002364044908
2003 (006) 01 06 23 43 50.8   15.651   119.658   10  5.5 2003006234350
2003 (007) 01 07 08 06 53.0  -10.213   160.936   33  5.6 2003007080653
2003 (010) 01 10 13 11 56.9   -5.311   153.701   71  5.9 2003010131156
2003 (019) 01 19 02 55 24.2   -3.428   101.638   53  5.1 2003019025524
2003 (020) 01 20 08 43 06.0  -10.491   160.770   33  6.7 2003020084306
2003 (027) 01 27 05 26 23.0   39.500    39.878   10  5.6 2003027052623
2003 (027) 01 27 17 56 25.8  -46.048    35.057   10  5.6 2003027175625
2003 (041) 02 10 04 49 31.1   -6.011   149.792   33  5.6 2003041044931
2003 (043) 02 12 22 33 30.8   -3.652   144.242   10  6.0 2003043223330
2003 (046) 02 15 05 47 58.9   12.171   123.921   10  5.4 2003046054758
2003 (046) 02 15 11 01 59.8   12.168   124.079   10  5.8 2003046110159
2003 (060) 03 01 06 12 47.3   -1.699   134.313   28  5.5 2003060061247
2003 (062) 03 03 16 31 58.6   -3.859   102.573   75  5.1 2003062163158
2003 (065) 03 06 22 58 14.8   -4.677   103.212   75  5.1 2003065225814
2003 (069) 03 10 02 09 37.0    1.692   127.296   93  6.2 2003069020937
2003 (070) 03 11 07 27 32.6   -4.694   153.238   40  6.0 2003070072732
2003 (070) 03 11 07 35 42.8   -4.659   153.160   33  5.7 2003070073542
2003 (073) 03 14 07 06 13.3   -0.406   132.951   33  6.0 2003073070613
2003 (074) 03 15 14 05 16.1   -3.916   134.337   33  5.8 2003074140516
2003 (074) 03 15 19 41 28.6   52.249   160.387   30  5.6 2003074194128
2003 (076) 03 17 16 36 17.3   51.272   177.978   33  5.9 2003076163617
2003 (076) 03 17 18 55 47.8   51.295   177.971   33  5.7 2003076185547
2003 (078) 03 19 00 03 42.9   -9.388   156.587   33  5.8 2003078000342
2003 (084) 03 25 02 53 25.0   -8.294   120.743   33  6.2 2003084025325
2003 (089) 03 30 18 13 34.0   -3.169   127.542   33  5.8 2003089181334
2003 (090) 03 31 01 06 53.0   -6.183   151.429   46  6.0 2003090010653
2003 (100) 04 10 00 40 15.1   38.221    26.958   10  5.3 2003100004015
2003 (101) 04 11 05 01 30.2  -15.396    67.262   10  5.4 2003101050130
2003 (106) 04 16 17 59 53.8   40.983   142.208   57  5.7 2003106175953
2003 (114) 04 24 10 56 21.9   48.764   154.991   43  5.6 2003114105621
2003 (119) 04 29 10 44 36.7   -7.020   103.683   10  5.6 2003119104436
2003 (119) 04 29 11 32 33.0   -7.032   103.690   10  5.2 2003119113233
2003 (119) 04 29 13 53 17.3   43.706   147.805   62  6.0 2003119135317
2003 (121) 05 01 00 27 04.7   39.007    40.464   10  5.7 2003121002704
2003 (125) 05 05 15 50 08.4    0.215   127.354  123  5.9 2003125155008
2003 (125) 05 05 23 04 45.6    3.715   127.954   56  6.0 2003125230445
2003 (127) 05 07 02 58 00.1   48.532    89.572   33  5.6 2003127025800
2003 (128) 05 08 20 22 08.0   -3.449   150.825   10  5.5 2003128202208
2003 (129) 05 09 20 26 15.9  -48.209    32.272   10  5.5 2003129202615
2003 (131) 05 11 17 51 35.1   -0.988   126.938   30  5.6 2003131175135
2003 (134) 05 14 07 40 36.1   -8.060   107.315   79  5.2 2003134074036
2003 (141) 05 21 18 44 20.1   36.964     3.634   12  6.5 2003141184420
2003 (141) 05 21 18 51 10.3   36.970     3.813   10  5.7 2003141185110
2003 (146) 05 26 09 24 33.3   38.849   141.568   68  6.7 2003146092433
2003 (146) 05 26 19 23 27.9    2.354   128.854   31  6.5 2003146192327
2003 (146) 05 26 23 13 29.7    6.761   123.707  565  6.2 2003146231329
2003 (146) 05 26 23 26 31.8    6.812   123.880  583  5.9 2003146232631
2003 (148) 05 28 16 15 18.9  -17.646    66.116   10  5.5 2003148161518
2003 (158) 06 07 00 32 45.5   -5.095   152.502   33  6.0 2003158003245
2003 (160) 06 09 01 52 51.0   24.413   122.020   48  5.3 2003160015251
2003 (161) 06 10 08 40 30.8   23.520   121.628   44  5.8 2003161084030
2003 (163) 06 12 08 59 20.2   -5.985   154.758  186  5.9 2003163085920
2003 (166) 06 15 19 24 33.1   51.552   176.923   20  6.0 2003166192433
2003 (167) 06 16 22 08 02.1   55.492   159.999  174  6.3 2003167220802
2003 (174) 06 23 12 12 34.4   51.439   176.783   20  6.3 2003174121234
2003 (177) 06 26 14 11 44.5   12.253   123.850   10  5.3 2003177141144
2003 (179) 06 28 15 29 42.2   -3.325   146.148   10  5.7 2003179152942
2003 (182) 07 01 05 52 25.9    4.529   122.511  635  5.8 2003182055225
2003 (182) 07 01 17 00 22.8   12.803   124.898   33  5.6 2003182170022
2003 (182) 07 01 22 29 05.4  -37.064    78.177   10  4.8 2003182222905
2003 (183) 07 02 00 47 11.8   -3.643   102.060   75  5.3 2003183004711
2003 (185) 07 04 00 33 50.0   -5.473   151.691   10  5.4 2003185003350
2003 (190) 07 09 21 08 37.0   -4.288   102.836   98  5.0 2003190210837
2003 (192) 07 11 13 53 24.8    9.337   122.044   33  5.6 2003192135324
2003 (196) 07 15 18 46 38.1   -3.828   152.174   33  5.9 2003196184638
2003 (198) 07 17 20 10 40.8   18.010   119.693   42  5.2 2003198201040
2003 (200) 07 19 21 20 37.0   -8.682   111.227   56  5.9 2003200212037
2003 (202) 07 21 13 53 58.4   -5.481   148.853  189  6.2 2003202135358
2003 (205) 07 24 10 23 21.6    0.136   124.580   73  5.7 2003205102321
2003 (206) 07 25 09 37 45.8   -1.528   149.694   24  6.4 2003206093745
2003 (206) 07 25 22 13 29.9   38.415   140.996    6  6.0 2003206221329
2003 (208) 07 27 06 25 31.9   47.151   139.248  470  6.3 2003208062531
2003 (216) 08 04 10 53 23.7   21.988   120.589   33  5.0 2003216105323
2003 (226) 08 14 05 14 54.7   39.160    20.605   10  5.6 2003226051454
